67,Alabama
29,Alaska
15,Arizona
75,Arkansas
58,California
64,Colorado
8,Connecticut
3,Delaware
67,Florida
159,Georgia
5,Hawaii
44,Idaho
102,Illinois
92,Indiana
99,Iowa
105,Kansas
120,Kentucky
64,Louisiana
16,Maine
24,Maryland
14,Massachusetts
83,Michigan
87,Minnesota
82,Mississippi
115,Missouri
56,Montana
93,Nebraska
17,Nevada
10,New Hampshire
21,New Jersey
33,New Mexico
62,New York
100,North Carolina
53,North Dakota
88,Ohio
77,Oklahoma
36,Oregon
67,Pennsylvania
5,Rhode Island
46,South Carolina
66,South Dakota
95,Tennessee
254,Texas
29,Utah
14,Vermont
133,Virginia
39,Washington
1,District of Columbia
55,West Virginia
72,Wisconsin
23,Wyoming
